Hi,The conversation started with a polite morning greeting.,1.0
Hi,The conversation is friendly and positive.,0.8622380514521346
Hi,The conversation has a friendly and supportive tone.,0.8210193256694502
Hi,There is a positive and helpful tone in the conversation.,0.8179403887619596
Hi,The conversation seems friendly and casual.,0.8096897372785055
You,The conversation is between Clarla and chmx.,1.0
You,The conversation is between Clarla and chmx.,0.9994037675297847
You,The conversation between Clarla and chmx:,0.9884957357014112
You,Clarla responds in a friendly and enthusiastic tone.,0.9636151653697933
You,Clarla initiated the conversation with a friendly and enthusiastic greeting.,0.9108041719787234
You,Clarla is addressing Sakura in a friendly and enthusiastic manner.,1.0
You,Clarla uses emojis to convey her excitement and enthusiasm.,0.9936432703800402
You,Clarla is expressing her willingness to listen to Sakura's stories and engage in an imaginative adventure.,0.9872511518686677
You,The conversation is between Clarla and chmx.,0.06190328103464249
You,The conversation between Clarla and chmx:,0.06128630066657215
Thanks for watching!,Clarla uses emojis to convey her excitement and enthusiasm.,1.0
Thanks for watching!,Clarla is addressing Sakura in a friendly and enthusiastic manner.,0.9976168309836826
Thanks for watching!,Clarla is expressing her willingness to listen to Sakura's stories and engage in an imaginative adventure.,0.9832005349459982
Thanks for watching!,Clarla responds in a friendly and enthusiastic tone.,0.1340426236053176
Thanks for watching!,Observation 3: Clarla expresses excitement to create something amazing together with chmx2023.,0.1245013989897703
Thank you for watching.,Sakura enjoyed watching something.,1.0
Thank you for watching.,Clarla is excited to hear Sakura's favorite part.,0.9410230125205865
Thank you for watching.,Clarla and Sakura are having a conversation.,0.9340730121020631
Thank you for watching.,Clarla is addressing Sakura in a friendly and enthusiastic manner.,0.5115186238981548
Thank you for watching.,Clarla is expressing her willingness to listen to Sakura's stories and engage in an imaginative adventure.,0.506329795391788
"Hello, how are you today?",Clarla and Sakura are having a conversation.,1.0
"Hello, how are you today?",Clarla is looking forward to hearing Sakura's favorite part.,0.9785557222703822
"Hello, how are you today?",Sakura enjoyed watching something.,0.974415111517321
"Hello, how are you today?",Clarla is happy that Sakura enjoyed watching something.,0.9729097816716004
"Hello, how are you today?",Clarla is excited to hear Sakura's favorite part.,0.970966759802995
Trial of Skillshare premium membership and after that it only around,Clarla seems confident and self-assured in her response.,1.0
Trial of Skillshare premium membership and after that it only around,Clarla implies that something exciting might have happened to Sakura.,0.9988150341543698
Trial of Skillshare premium membership and after that it only around,Clarla and Sakura are having a conversation.,0.997918568799598
Trial of Skillshare premium membership and after that it only around,Sakura enjoyed watching something.,0.9975165030795492
Trial of Skillshare premium membership and after that it only around,Sakura enjoyed watching something.,0.9912021468038477
