Message,Important Observations,Important Scores,NPC Response,Total time for Input,Time for Human speech detection,Time for voice normalization,Time for audio recording,Time for Audio to Text,Time for Retrieval,Time for Response
I just found out I'm being promoted at work. I feel incredibly excited and proud.,"Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.","1.0
0.89
0.76","(Happy, Clap)
Congratulations, Tony! That's amazing news! I can imagine how excited and proud you must be feeling right now. Your hard work and dedication have paid off. Keep shining!",0.0,,,,0,0.57,0.49
I had to cancel a long-awaited vacation due to unforeseen circumstances. I'm feeling really disappointed.,"Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.","1.0
0.94
0.78","(Tease, Wave Hands)
Oh no, Tony! That's a bummer. But hey, with your adventurous spirit, I'm sure you'll find a way to turn things around. Maybe a spontaneous day trip or a mini staycation could lift your spirits? 🙃👋",0.0,,,,0,0.39,0.36
I recently reconnected with an old friend and it made me feel nostalgic and joyful.,"Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava responded by congratulating Tony and expressing her excitement for him.
Tony shared that he just found out he's being promoted at work.
Ava acknowledged Tony's hard work and dedication.","1.0
0.66
0.63
1.0
0.27
0.0","(Happy, Clap)
That's wonderful, Tony! Congratulations on your promotion! I'm so happy for you. It's always great to see hard work and dedication paying off. What's the new role going to be like?",0.0,,,,0,0.93,0.21
I've been working on a challenging project and finally completed it. I feel a deep sense of accomplishment and relief.,"Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava acknowledged Tony's hard work and dedication.
Tony shared that he just found out he's being promoted at work.
Ava acknowledges and celebrates Tony's achievements and hard work.
Tony expressed feeling nostalgic and joyful.
Ava responded by congratulating Tony and expressing her excitement for him.","1.0
1.0
0.88
1.0
0.96
0.95
0.94
0.94","(Happy, Clap)
Congratulations, Tony! That's fantastic news! Your hard work and dedication have paid off. I'm so excited for you! 🎉👏",0.0,,,,0,1.4,0.3
I witnessed a car accident today and it left me feeling shocked and a bit scared.,"Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Tony expressed feeling nostalgic and joyful.
Ava responds to Tony's disappointment with empathy and encouragement.
Tony shared that he just found out he's being promoted at work.
Tony mentioned reconnecting with an old friend.","1.0
0.93
0.85
1.0
0.72
0.59
0.56
0.42","(Happy, Dance)
I'm sorry to hear that, Tony. It can be quite shocking. Take a deep breath and know that you're safe now. Is there anything I can do to help you feel better?",0.0,,,,0,2.09,0.23
"I tried a new activity that I thought I wouldn't like, but I actually loved it. I feel pleasantly surprised.","Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves coffee. Her favourite coffee is cappuccino, but she dislikes americano coffee.
Ava's favourite novel is called Gone with the wind. Ava's favourite sport is jogging.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Ava uses happy and clap emojis to show her enthusiasm.
Tony expressed feeling nostalgic and joyful.
Ava responds to Tony's disappointment with empathy and encouragement.
Ava uses emojis to add a friendly and playful tone to her response.","1.0
0.96
0.96
1.0
0.67
0.53
0.43
0.42","(Happy, Clap)
That's wonderful, Tony! It's amazing how trying new things can bring unexpected joy. What activity did you try? I'm curious to know more!",0.0,,,,0,1.62,0.24
"I've been struggling to solve a problem at work, which has been making me feel frustrated and stressed.","Ava is a kind girl who is 25 years old, she loves to help people.
Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava is living with her sister Avam. Avam is a master of computer science student at Brentwood University.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Tony shared that he just found out he's being promoted at work.
Ava offers assistance to help Tony feel better.
Tony expressed a positive surprise about trying a new activity.
Ava suggests alternative ways for Tony to still enjoy some time off despite canceling the vacation.","1.0
0.77
0.72
1.0
0.7
0.53
0.53
0.44","(Happy, Clap)
I'm sorry to hear that, Tony. Let's find a solution together! What's the problem that's been bothering you at work?",0.0,,,,0,1.0,0.21
"I spent the day volunteering at a local shelter, and it made me feel fulfilled and grateful.","Ava is a kind girl who is 25 years old, she loves to help people.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava was born in a small town called Brentwood. Brentwood is a beautiful town with delicious food.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Tony expressed a positive surprise about trying a new activity.
Ava expressed curiosity and interest in knowing more about the activity.
Tony expressed feeling nostalgic and joyful.
Ava offers assistance to help Tony feel better.","1.0
0.69
0.58
1.0
0.68
0.52
0.51
0.46","(Happy, Dance)
That's amazing, Tony! Volunteering can be so fulfilling. It's wonderful that you had the opportunity to help others and feel grateful. What kind of tasks did you do at the shelter? 🎉",0.0,,,,0,1.05,0.31
"I lost a treasured family heirloom, and now I'm feeling quite sad and remorseful.","Ava is a kind girl who is 25 years old, she loves to help people.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava has a cat called Lucy. Lucy is a 3-year-old male Bengal cat.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Tony expressed feeling nostalgic and joyful.
Ava empathizes with Tony's frustration and stress.
Ava responds to Tony's disappointment with empathy and encouragement.
Ava acknowledges the shock and fear Tony is feeling.","1.0
1.0
0.89
1.0
0.93
0.89
0.88
0.66","(Sad, Faint)
Oh no, I'm really sorry to hear that you lost a treasured family heirloom. Losing something valuable can be devastating. Maybe we can think of ways to brighten your mood and create new cherished memories.",0.0,,,,0,1.14,0.3
I watched a comedy show that was hilarious. It left me feeling light-hearted and amused.,"Ava is a writer who writes novels. She loves to sit in Soon cafe in Brentwood and write new stories in her novels.
Ava knows her neighbor Bob. They often meet at the Brentwood Library. They like to play tennis together on Sunday mornings.
Ava loves a coffee shop called Soon cafe in Brentwood, she goes to Soon cafe twice a week.
Tony expressed feeling nostalgic and joyful.
Tony expressed a positive surprise about trying a new activity.
Tony has just completed a challenging project and feels a deep sense of accomplishment and relief.
Ava uses a warm and playful tone in her conversations with Tony.
Ava expresses happiness and excitement.","1.0
0.95
0.86
1.0
0.79
0.62
0.57
0.52","(Happy, Dance)
That's wonderful, Tony! Laughter is such a magical feeling. It's like a symphony for the soul, lifting us up and making our hearts dance with joy. Do you have any favorite comedians?",0.0,,,,0,1.06,0.3
